Currency,Date,Buying Rate,Central Rate,Selling Rate
CFA,2025-04-23,2.7978,2.8078,2.8178
YUAN/RENMINBI,2025-04-23,203.2112,203.2747,203.3381
DANISH KRONA,2025-04-23,243.5703,243.6464,243.7224
EURO,2025-04-23,1818.7614,1819.3293,1819.8972
YEN,2025-04-23,11.2364,11.2399,11.2435
RIYAL,2025-04-23,426.8893,427.0226,427.1558
SOUTH AFRICAN RAND,2025-04-23,85.9129,85.9397,85.9665
SDR,2025-04-23,2180.4961,2181.1769,2181.8578
SWISS FRANC,2025-04-23,1938.3904,1938.9956,1939.6009
POUNDS STERLING,2025-04-23,2127.1726,2127.8368,2128.5010
US DOLLAR,2025-04-23,1601.3043,1601.8043,1602.3043
WAUA,2025-04-23,2191.9251,2192.6095,2193.2939
CFA,2025-04-22,2.7511,2.7611,2.7711
YUAN/RENMINBI,2025-04-22,219.0266,219.0949,219.1633
DANISH KRONA,2025-04-22,245.9471,246.0238,246.1006
EURO,2025-04-22,1836.4310,1837.0043,1837.5776
YEN,2025-04-22,11.3720,11.3755,11.3791
RIYAL,2025-04-22,426.9766,427.1099,427.2432
SOUTH AFRICAN RAND,2025-04-22,86.0634,86.0903,86.1172
SDR,2025-04-22,2172.2932,2172.9714,2173.6495
SWISS FRANC,2025-04-22,1967.1233,1967.7374,1968.3515
POUNDS STERLING,2025-04-22,2136.2245,2136.8914,2137.5582
US DOLLAR,2025-04-22,1601.6318,1602.1318,1602.6318
WAUA,2025-04-22,2165.9341,2166.6102,2167.2864
CFA,2025-04-17,2.7493,2.7593,2.7693
YUAN/RENMINBI,2025-04-17,219.0267,219.0951,219.1636
DANISH KRONA,2025-04-17,243.2400,243.3161,243.3922
EURO,2025-04-17,1816.5539,1817.1220,1817.6900
YEN,2025-04-17,11.2443,11.2478,11.2513
RIYAL,2025-04-17,426.1109,426.2441,426.3774
SOUTH AFRICAN RAND,2025-04-17,85.1391,85.1658,85.1924
SDR,2025-04-17,2166.0819,2166.7592,2167.4366
SWISS FRANC,2025-04-17,1954.9314,1955.5427,1956.1541
POUNDS STERLING,2025-04-17,2118.9132,2119.5758,2120.2384
US DOLLAR,2025-04-17,1598.9384,1599.4384,1599.9384
WAUA,2025-04-17,2165.9413,2166.6186,2167.2959
CFA,2025-04-16,2.7395,2.7495,2.7595
YUAN/RENMINBI,2025-04-16,218.8068,218.8752,218.9436
DANISH KRONA,2025-04-16,243.3003,243.3764,243.4525
EURO,2025-04-16,1817.0352,1817.6034,1818.1717
YEN,2025-04-16,11.2149,11.2184,11.2219
RIYAL,2025-04-16,426.0624,426.1956,426.3289
SOUTH AFRICAN RAND,2025-04-16,84.7607,84.7872,84.8137
SDR,2025-04-16,2163.9746,2164.6513,2165.3281
SWISS FRANC,2025-04-16,1962.1982,1962.8119,1963.4255
POUNDS STERLING,2025-04-16,2120.6471,2121.3103,2121.9735
US DOLLAR,2025-04-16,1598.7991,1599.2991,1599.7991
WAUA,2025-04-16,2162.1723,2162.8485,2163.5247
CFA,2025-04-15,2.7642,2.7742,2.7842
YUAN/RENMINBI,2025-04-15,218.4371,218.5055,218.5738
DANISH KRONA,2025-04-15,242.1511,242.2268,242.3026
EURO,2025-04-15,1807.7663,1808.3319,1808.8976
YEN,2025-04-15,11.1776,11.1811,11.1846
RIYAL,2025-04-15,425.8374,425.9706,426.1039
SOUTH AFRICAN RAND,2025-04-15,84.5998,84.6263,84.6527
SDR,2025-04-15,2164.9092,2165.5866,2166.2640
SWISS FRANC,2025-04-15,1953.0125,1953.6236,1954.2347
POUNDS STERLING,2025-04-15,2113.9344,2114.5959,2115.2573
US DOLLAR,2025-04-15,1597.9548,1598.4548,1598.9548
WAUA,2025-04-15,2172.3271,2173.0068,2173.6865
CFA,2025-04-14,2.7062,2.7162,2.7262
DANISH KRONA,2025-04-14,242.8339,242.9096,242.9854
YEN,2025-04-14,11.1430,11.1465,11.1500
SOUTH AFRICAN RAND,2025-04-14,84.6615,84.6879,84.7143
SDR,2025-04-14,2168.2269,2168.9030,2169.5791
US DOLLAR,2025-04-14,1603.4809,1603.9809,1604.4809
WAUA,2025-04-14,2129.8707,2130.5349,2131.1990
SWISS FRANC,2025-04-14,1976.5485,1977.1651,1977.7817
POUNDS STERLING,2025-04-11,2104.9352,2105.5918,2106.2485
US DOLLAR,2025-04-11,1602.7832,1603.2832,1603.7832
WAUA,2025-04-11,2129.8701,2130.5346,2131.1990
CFA,2025-04-11,2.6685,2.6785,2.6885
YUAN/RENMINBI,2025-04-11,219.6948,219.7633,219.8318
DANISH KRONA,2025-04-11,244.8380,244.9144,244.9908
